16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010178044
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1010178044_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10102327
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10102327_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010356558
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1010356558_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010814895
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1010814895_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101090745
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 101090745_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1011172939
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1011172939_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1011309887
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1011309887_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101139716
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 101139716_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1011847514
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1011847514_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1012661286
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1012661286_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101274646
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
16:15:18 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 101274646_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1012882411
16:15:18 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:18 | INFO     | unificador |    Preview: ...
