15:05:22 | INFO     | unificador | 📁 Log salvo em: C:\Projetos\Projeto EGS\EGS_Suite\apps\logs\unificador_20251205_150522.log
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101017804420
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101023272025
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101035655820
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101081489520
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101090745202
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101117293920
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101130988720
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101139716202
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101184751420
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101266128620
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101274646202
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101288241120
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101294909202
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101352376202
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101378692025
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101423532202
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101433087220
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101502632202
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:22 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101529752025
15:05:22 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:22 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101548741620
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101569565202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101627363202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101672452820
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101674177920
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101695011520
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101698130020
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101801582025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101919455202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101939035020
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102028389202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102187771202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102247256720
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102266674202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102374411202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102393122202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102451422025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102528172202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102578649202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102599101920
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102605731520
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102607612202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102762839202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102794432120
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102806388202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102831832202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 102996442025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103005226020
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103030784720
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103040565820
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103092868320
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103123706820
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103139326720
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103413085202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103556072120
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103644408202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103848231202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103954716202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 103993383202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 104154892025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 104359642202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 104528840202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 104665600202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 104805297202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 104890760202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105015862202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105048442202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105058540202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105103304202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105117536202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105134135202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105202720251
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105298752025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105301957202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105320817202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 105327234202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 106134482025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 106392032025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 106931922025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 107260592025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 107692732025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 107833812025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 108122222025
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 109088667202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 109259706202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 109313271202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 109525791202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 109871781202
15:05:23 | INFO     | unificador |    Texto extraído: 0 caracteres
15:05:23 | INFO     | unificador |    Preview: ...
15:05:23 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101017804420
15:05:24 | INFO     | unificador |    Texto extraído: 2713 caracteres
15:05:24 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 26000.000104 6 12960000018373 Be...
15:05:24 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo: 183.73
15:05:24 | DEBUG    | unificador | [UC_NOME] Encontrada no nome: 101023272025
15:05:24 | INFO     | unificador |    Texto extraído: 2699 caracteres
15:05:24 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 31000.000104 1 12960000003596 Be...
