13:36:42 | DEBUG    | [unificador] | [UC_NOME] Nome normalizado: '101139716IGREJA DO EVANGELHO QUADRANGULAR20251205.pdf'
13:36:42 | DEBUG    | [unificador] | [UC_NOME] ✓ UC encontrada no nome: 101139716
13:36:42 | DEBUG    | [unificador] | [UC_NOME] ✓ UC encontrada no nome: 101139716
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Extraindo valor de: 10113971-6_IGREJA DO EVANGELHO QUADRANGULAR_20251205.pdf
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Extraindo valor de: 10113971-6_IGREJA DO EVANGELHO QUADRANGULAR_20251205.pdf
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Tamanho do texto: 0 chars
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Tamanho do texto: 0 chars
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Todos os valores R$ encontrados: []
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Todos os valores R$ encontrados: []
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Tentando padrão 'Total a pagar'...
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Tentando padrão 'Total a pagar'...
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Padrão 'Total a pagar' não encontrado
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Padrão 'Total a pagar' não encontrado
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Tentando padrão 'valor isolado R$'...
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Tentando padrão 'valor isolado R$'...
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Padrão 'valor isolado' não encontrado
13:36:42 | DEBUG    | [unificador] | [VALOR_FATURA] Padrão 'valor isolado' não encontrado
13:36:42 | WARNING  | [unificador] | [VALOR_FATURA] ✗ Nenhum valor encontrado em 10113971-6_IGREJA DO EVANGELHO QUADRANGULAR_20251205.pdf
13:36:42 | WARNING  | [unificador] | [VALOR_FATURA] ✗ Nenhum valor encontrado em 10113971-6_IGREJA DO EVANGELHO QUADRANGULAR_20251205.pdf
13:36:42 | INFO     | [unificador] | [ANÁLISE_VALORES] 10113971-6_IGREJA DO EVANGELHO QUADRANGULAR_20251205.pdf (fatura):
13:36:42 | INFO     | [unificador] | [ANÁLISE_VALORES] 10113971-6_IGREJA DO EVANGELHO QUADRANGULAR_20251205.pdf (fatura):
13:36:42 | INFO     | [unificador] |   - Valores R$: []
13:36:42 | INFO     | [unificador] |   - Valores R$: []
13:36:43 | INFO     | [unificador] |   - Números formatados: []
13:36:43 | INFO     | [unificador] |   - Números formatados: []
13:36:43 | INFO     | [unificador] |   - Tem 'Total a pagar': False
13:36:43 | INFO     | [unificador] |   - Tem 'Total a pagar': False
13:36:43 | INFO     | [unificador] |   - Tem 'Valor do Documento': False
